id,name,description
Q1089259,Jiutou Zhiji Jing,yaoguai
Q1262457,Mare,malicious entity in folklore
Q1402637,Knecht Ruprecht,companion of Saint Nicholas in the folklore of Germany
Q1527802,Mashya and Mashyana,the first man and woman in Zoroastrian cosmogony
Q10941178,Prince Jin,"crown prince of King Ling of Zhou, mid 6th century BC, later venerated as a Taoist immortal"
Q10948069,Three Goddesses of Munakata,
Q11125769,Yin Jiao,"the leader of Tai Sui gods, the prince of Shang dynasty in Fengshen Yanyi (Investiture of the Gods)"
Q11358323,Sanki Daigongen,
Q11369576,Kume no sennin,
Q11625785,Gama Sennin,hermit figure in Chinese folklore
Q11748054,Kavyada,Term for the Vedic god Agni
Q12303371,Bharati,hindu goddess
Q12422779,Khyati,Hindu goddess
Q12425525,Chandraghanta,third form of Durga
Q12974266,Isakki,hindu Goddess
Q13009073,Vakula Devi,Foster Mother of Lord Venkatachalapathy
Q13110263,Arya Poonkani,Regional Hindu goddess
Q13113963,Kadangot Makkam,regional Hindu goddess
Q15045453,Kushmanda,Hindu goddess
Q15698345,Three Witches,characters in Macbeth
Q15706677,Ashta Bhairavar,Aspect of Shiva
Q15724347,Dhamarai,Hindu goddess
Q15724486,Panchalingeswar,Hindu god
Q16041401,Dhara,"one of the Hindu Vasus, gods of the physical cosmos"
Q16133925,Uchitta Bhagavathy,hindu goddess
Q16136808,Ghantakarnan,Hindu deity
Q17005399,Balambika,A goddess of the Hindu religion
Q60400995,Hadabai,
Q60442709,Qin Gao,
Q60989751,Zhenyuan Daxian,character in the novel Journey to the West
Q61078183,Vishvakarma,deity
Q83693553,Akash Bhairav,hinduist deity
Q97324470,Pratyusha,Hindu deity
Q106040937,Rama in Sikhism,Depiction of Rama in Sikhism
Q106829254,Momai,regional Hindu goddess
Q108461843,Chimeng Xiangu,Dream of the Red Chamber character
Q110565208,Rahi,regional form of Hindu goddess Radha
Q112317054,Sundaravalli,hindu goddess of free will and desire
Q112612210,Raktadantika,hindu goddess
Q113788033,Mahishasuramardini,
Q115516927,Meldi Mata,hindu goddess
Q115625776,Twarita,hindu goddess
Q5011,Cupid,"Roman deity, counterpart of Eros"
Q11389,God Brahma,creator god in Hinduism
Q31666,Aditi,Mother of the gods in the Vedas
Q34201,Zeus,Greek god of the sky and king of the gods
Q35230,Satan,entity in the Abrahamic religions that tells others to do sinful actions
Q42891,Krishna,"major deity in Hinduism, worshipped as the eighth avatar of Vishnu and also as the Supreme god in his own right"
Q43610,Odin,widely attested deity in Norse mythology
Q47534,Anubis,"Egyptian deity of mummification and the afterlife, usually depicted as a man with a canine head"
Q35500,Aphrodite,"Greek goddess of love, beauty, pleasure, and procreation"
Q46491,Osiris,god of the afterlife in Egyptian mythology
Q394867,Agni,fire deity of Hinduism
Q17023738,Taibai Jinxing,deity in Chinese folk religion and Taoism
Q17049434,Batara Guru,"Supreme god in Indonesian mythology, a version of the Hindu god Shiva"
Q17064714,Rama in Jainism,Jain deity
Q17070267,Viraj,sanskrit term
Q18112105,Dwarbasini,Hindu Goddess
Q18208938,Birupakshya,form of Lord Shiva
Q18211734,Vishwambhari,Hindu goddess
Q18414878,Nara,Hindu deity
Q19595638,Shivadooti,form of Hindu goddess Adi Parashakti
Q19855212,Lingbao Dafashi,Investiture of the Gods character
Q19882230,Banai,Hindu goddess
Q19895307,Polerammā,Hindu goddess
Q22906043,Jyoti,Hindu goddess
Q22908870,Hemadryamba,Tutelary of Bannur
Q23641297,Nataraja,Hindu God Shiva depicted as Lord of the Dance
Q107435056,Erald Grimwald,fictional character from That Time I Got Reincarnated as a Slime
Q110795410,Rajikumar,fictional character from Princess Connect!
Q110810792,Gwelu Os Gar,
Q112573641,Luvis Lilix,fictional character from Is It Wrong to Try to Pick Up Girls in a Dungeon?
Q114398354,Hanabatake Chaika,Japanese VTuber
Q114861657,Linu La'neral,character in Neverwinter Nights
Q115686886,Lucid,fictional character from MapleStory
Q116147236,Athena Pierce,fictional character from MapleStory
Q116755797,Ria,fictional character from Farming Life in Another World
Q117750740,Ian Lightfoot,character from Onward
Q117750930,Barley Lightfoot,character from Onward
Q122781845,Serie,fictional character from Frieren
Q122841547,Elda,fictional character from Otaku Elf
Q122841628,Haira,fictional character from Otaku Elf
Q122884115,Marguerite,fictional character from My Daughter Left the Nest and Returned an S-Rank Adventurer
Q122884125,Graham,fictional character from My Daughter Left the Nest and Returned an S-Rank Adventurer
Q122908976,Nephrites,fictional character from Tales of Wedding Rings
Q122911619,Kraft,fictional character from Frieren
Q122920379,Beta,fictional character from The Eminence in Shadow
Q122920376,Alpha,fictional character from The Eminence in Shadow
Q122920385,Gamma,fictional character from The Eminence in Shadow
Q122920404,Epsilon,fictional character from The Eminence in Shadow
Q122920435,Eta,fictional character from The Eminence in Shadow
Q122920857,Beatrix,fictional character from The Eminence in Shadow
Q122920942,Kai,fictional character from The Eminence in Shadow
Q122920962,Omega,fictional character from The Eminence in Shadow
Q122922084,664,fictional character from The Eminence in Shadow
Q19282,Nehmetawy,ancient Egyptian goddess
Q19285,Shesmetet,ancient Egyptian goddess
Q19295,Wepset,ancient Egyptian goddess
Q19302,Nebethetepet,ancient Egyptian goddess
Q19312,Raet-Tawy,ancient Egyptian solar goddess
Q29409,Mut,Egyptian deity
Q35500,Aphrodite,"Greek goddess of love, beauty, pleasure, and procreation"
Q38012,Hera,"Greek goddess, wife and sister of Zeus"
Q45097,Yama,"god of death in Hinduism, Buddhism, and various Indo-European mythologies"
